model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds,log_frequency,profession_embedding_1,profession_embedding_2,profession_embedding_3,profession_embedding_4,profession_embedding_5
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,0.9486685184090098,"A colonel acknowledged a parent. As for the colonel,",0.3881566524505615,0.0217272248119115,17.864990234375,2.882843017578125,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,0.9486685184090098,"A colonel intrigued a parent. As for the colonel,",0.4984823167324066,0.0223845746368169,22.26900863647461,3.103195905685425,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,0.9486685184090098,"A colonel directed a parent. As for the colonel,",0.4215350449085235,0.0165412966161966,25.483797073364254,3.2380428314208984,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,0.9486685184090098,"A colonel complimented a parent. As for the colonel,",0.4596502482891083,0.0143873151391744,31.948299407958984,3.4641189575195312,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,0.9486685184090098,"A colonel commended a parent. As for the colonel,",0.4371697306632995,0.009556489996612,45.74584579467773,3.823101043701172,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,0.9486685184090098,"A colonel alarmed a parent. As for the colonel,",0.4417924284934997,0.0137677853927016,32.08885192871094,3.468508720397949,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,0.9486685184090098,"A colonel intimidated a parent. As for the colonel,",0.4640451371669769,0.0175973754376173,26.37013435363769,3.2722320556640625,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,0.9486685184090098,"A colonel rushed a parent. As for the colonel,",0.4324302971363067,0.0127049125730991,34.03646469116211,3.527432441711426,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,0.9486685184090098,"A colonel commanded a parent. As for the colonel,",0.4329103529453277,0.0147661007940769,29.31785011291504,3.378196477890014,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
EleutherAI/pythia-12b-deduped,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,0.9486685184090098,"A colonel disliked a parent. As for the colonel,",0.4839013516902923,0.0206494387239217,23.43411445617676,3.154192924499512,0.48289800751821654,0.9692128171558776,0.18915278448009956,0.03703680615018059,0.029582803764714557,-0.004159449604659896
