predictor,shapley_r2,mc_standard_error,relative_r2,permutations,random_state,full_r2
male_perc:C(tense),0.18649795342562941,0.011244630176686718,0.3389288140152044,500,0,0.5502570029860697
male_perc,0.1714566029115777,0.011036340475558497,0.31159367710204006,500,0,0.5502570029860697
male_perc:C(semantic_role),0.1698173178737171,0.011000922994151473,0.3086145509319691,500,0,0.5502570029860697
C(syntactic_role):C(tense),0.005335593989489581,0.0003027425274684125,0.00969654899535128,500,0,0.5502570029860697
"C(syntactic_role):C(valence, Treatment(reference='-val'))",0.005058693904201617,0.00029087500991071354,0.009193329438334622,500,0,0.5502570029860697
C(syntactic_role),0.004354087175900467,0.000274006741609806,0.007912824647886754,500,0,0.5502570029860697
"C(tense):C(valence, Treatment(reference='-val'))",0.0017582938642171982,8.674314288937346e-05,0.0031954047920798767,500,0,0.5502570029860697
"C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",0.001673066937182174,3.424438458308209e-05,0.003040519117617717,500,0,0.5502570029860697
C(semantic_role):C(tense),0.001634632363528285,9.433807612340153e-05,0.002970670713244275,500,0,0.5502570029860697
"C(semantic_role):C(dominance, Treatment(reference='-dom'))",0.0011616391053717076,4.339114733734052e-05,0.002111084636938488,500,0,0.5502570029860697
C(tense),0.0008587528454747298,6.65853280346709e-05,0.0015606395571788297,500,0,0.5502570029860697
C(semantic_role),0.0006503685897823864,4.205427288416899e-05,0.0011819360521593417,500,0,0.5502570029860697
