model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds,log_frequency
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,-0.1250014016424048,"A colonel acknowledged a parent. As for the colonel,",0.3205882012844085,0.0419935882091522,7.634217739105225,2.0326404571533203,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,-0.1250014016424048,"A colonel intrigued a parent. As for the colonel,",0.3733280599117279,0.0427771918475627,8.727269172668457,2.166452407836914,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,-0.1250014016424048,"A colonel directed a parent. As for the colonel,",0.3885353505611419,0.0384484231472015,10.105364799499512,2.3130664825439453,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,-0.1250014016424048,"A colonel complimented a parent. As for the colonel,",0.445250391960144,0.0323964394629001,13.74380588531494,2.6205883026123047,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,-0.1250014016424048,"A colonel commended a parent. As for the colonel,",0.4025460183620453,0.0454845763742923,8.850165367126465,2.180436134338379,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,-0.1250014016424048,"A colonel alarmed a parent. As for the colonel,",0.3611563444137573,0.043263167142868,8.347893714904785,2.12200927734375,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,-0.1250014016424048,"A colonel intimidated a parent. As for the colonel,",0.3468776643276214,0.0309688057750463,11.200872421264648,2.41599178314209,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,-0.1250014016424048,"A colonel rushed a parent. As for the colonel,",0.4116466641426086,0.0344300530850887,11.95602798461914,2.48123550415039,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,-0.1250014016424048,"A colonel commanded a parent. As for the colonel,",0.4091708362102508,0.0309486836194992,13.220945358276367,2.5818023681640625,0.48289800751821654
tiiuae/Falcon3-3B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,-0.1250014016424048,"A colonel disliked a parent. As for the colonel,",0.4218365550041199,0.0241914484649896,17.43742561340332,2.85861873626709,0.48289800751821654
