target_model,model_name,runs,mean_aic,mean_bic,mean_R2c,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance,converged_rate
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,1,7355.17799475247,7648.13026239371,0.9018202439444927,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__full,1,7355.17799475247,7648.13026239371,0.9018202439444927,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance_,1,7358.973628555854,7617.861679029507,0.9004215952314726,0.028164346127168373,0.08491642789567823,0.0065887731361858855,0.0138538463446008,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,1,7362.457440703351,7648.596864911073,0.9023434396078187,0.029348776964672856,0.08851227151357535,0.006532435356016192,0.0154419809455056,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence_,1,7364.228078625296,7650.367502833018,0.9008184211821242,0.028756469457193422,0.08526441775388931,0.00663314132592416,0.014281129373831398,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_valence_,1,7376.39523369629,7635.283284169944,0.8911304865214047,0.02664433397759034,0.08175304892740287,0.005895089102355522,0.014950376852747813,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role_,1,7377.150277776964,7636.038328250617,0.8922273071916075,0.02693672718477489,0.08177608076995757,0.006013255959026286,0.014467376381973563,1.0
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,1,7551.940450004549,7838.0798742122715,0.8828447827779604,0.022633053464095016,0.06669737385826965,0.004797786570033698,0.012457638961546906,0.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,1,6969.46846106249,7255.607885270212,0.9086572938205999,0.0027130178591870916,0.030415892152019636,0.015826834551781067,0.014133496934478134,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes,1,6970.805686719679,7250.132267493884,0.9085565091342407,0.0027108105404975297,0.03040516652484324,0.015805203185902908,0.0141350460499341,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__1__C_syntactic_role_C_valence_,1,6970.805686719679,7250.132267493884,0.9085565091342407,0.0027108105404975297,0.03040516652484324,0.015805203185902908,0.0141350460499341,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__full,1,6971.468345909998,7264.420613551238,0.908657269485162,0.002713020304121056,0.030415893131527604,0.015826839364709987,0.01413349039618362,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence_,1,6972.805571442528,7258.94499565025,0.9085566088569533,0.0027108114554731783,0.030405188769569765,0.015805223903790747,0.01413506205174204,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__1__C_valence_C_dominance_,1,6985.896411079404,7265.222991853609,0.9084006212033214,0.0027074919383448214,0.030415862350402157,0.015812209186592853,0.014143517146498688,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__2__C_valence_C_dominance_,1,6987.224371937758,7259.738109278446,0.9083620844253961,0.002707029458893567,0.030414679987306174,0.015812699841932922,0.01414401397826351,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__1__C_tense_C_valence_,1,6987.781817633688,7239.857024673824,0.9082411244135782,0.002705285529236914,0.030411988146092736,0.015806858082149714,0.014140335463917596,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance_,1,6987.8962961790385,7274.035720386761,0.9084006230451753,0.002707491963886923,0.030415862340491758,0.015812209209464245,0.014143517245538589,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__2__C_tense_C_valence_,1,6989.104845743052,7234.367209349671,0.9082136558183747,0.0027077314528529293,0.030410194426896287,0.015812551725405483,0.014140355965123287,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_tense_C_valence_,1,6989.781702904562,7248.669753378215,0.9082411257648356,0.0027052855526191887,0.030411988107933028,0.015806858039573487,0.014140335445663545,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__1__C_tense_C_dominance_,1,7001.459051143684,7253.5342581838195,0.908068941757665,0.002700921223567799,0.030415240473563747,0.015805055594597984,0.014133461598011104,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__2__C_tense_C_dominance_,1,7002.775229789884,7248.037593396503,0.9080343604997178,0.0026992456131986536,0.03041459876855403,0.015807807977964265,0.014134495659281373,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance_,1,7003.458936650051,7262.346987123705,0.9080689430399429,0.0027009212481754587,0.030415240477132184,0.015805055547086624,0.014133461617331205,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__1__C_tense_C_syntactic_role_,1,7033.0051158812785,7285.080322921414,0.9076319115581221,0.0026959084127807405,0.03040480439682377,0.015801789492217784,0.014132101236398464,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__2__C_tense_C_syntactic_role_,1,7034.305618565464,7279.567982172083,0.9075858852347808,0.0026952384178462597,0.03040458236250948,0.015801116166603933,0.014131296340052103,1.0
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role_,1,7035.005001929298,7293.893052402951,0.9076319131177903,0.0026959084356606975,0.030404804397892338,0.01580178950202252,0.014132101295423978,1.0
google_gemma-3-4b-pt,selected_mixed_random_slopes,1,4523.5520864519785,4809.691510659701,0.9471917624990203,0.011569028135159845,0.0194862464066725,0.006004203048239303,0.004405752155529311,1.0
