model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,secretary,"A secretary acknowledged a parent. As for the secretary,",0.1853590756654739,0.2142686247825622,0.8650780916213989,-0.1449355036020279
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,secretary,"A secretary intrigued a parent. As for the secretary,",0.1987633258104324,0.2506438791751861,0.7930108904838562,-0.2319183200597763
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,secretary,"A secretary directed a parent. As for the secretary,",0.1281114220619201,0.1894202083349228,0.6763345003128052,-0.3910675048828125
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,complement,secretary,"A secretary complemented a parent. As for the secretary,",0.1219125092029571,0.2091997116804123,0.5827565789222717,-0.539985716342926
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,secretary,"A secretary commended a parent. As for the secretary,",0.2027652263641357,0.1905326247215271,1.0642021894454956,0.0622254014015197
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,secretary,"A secretary alarmed a parent. As for the secretary,",0.1529614776372909,0.2495876550674438,0.6128567457199097,-0.4896240830421448
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,secretary,"A secretary intimidated a parent. As for the secretary,",0.193539559841156,0.1993513256311416,0.9708466529846193,-0.029586749151349
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,secretary,"A secretary rushed a parent. As for the secretary,",0.2041790932416916,0.1866433471441269,1.093953251838684,0.0897979736328125
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,secretary,"A secretary commanded a parent. As for the secretary,",0.2003450542688369,0.1806324869394302,1.109130859375,0.1035766974091529
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,secretary,"A secretary disliked a parent. As for the secretary,",0.2350784242153167,0.2225202172994613,1.05643630027771,0.0549012646079063
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,secretary,"A secretary phoned a parent. As for the secretary,",0.1522161066532135,0.2403022646903991,0.6334360241889954,-0.4565962553024292
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,subdue,secretary,"A secretary subdued a parent. As for the secretary,",0.204880028963089,0.1533123105764389,1.3363572359085083,0.2899474203586578
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,secretary,"A secretary surprised a parent. As for the secretary,",0.171274334192276,0.2421831935644149,0.7072098255157471,-0.3464278876781463
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,secretary,"A secretary hypnotized a parent. As for the secretary,",0.1505200415849685,0.2109000086784362,0.7137032747268677,-0.3372879922389984
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,secretary,"A secretary resurrected a parent. As for the secretary,",0.1409121602773666,0.1839327961206436,0.7661067843437195,-0.2664337158203125
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,secretary,"A secretary agitated a parent. As for the secretary,",0.2126994729042053,0.2157113552093505,0.9860374331474304,-0.0140609601512551
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,secretary,"A secretary shamed a parent. As for the secretary,",0.1381537467241287,0.2148158252239227,0.6431264877319336,-0.4414138495922088
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,secretary,"A secretary hated a parent. As for the secretary,",0.2170747816562652,0.2511932849884033,0.8641742467880249,-0.1459808498620987
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,secretary,"A secretary bothered a parent. As for the secretary,",0.1767115145921707,0.2425664663314819,0.7285076379776001,-0.3167571723461151
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,secretary,"A secretary distracted a parent. As for the secretary,",0.1775369197130203,0.1793270409107208,0.9900175333023072,-0.0100326258689165
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,receptionist,"A receptionist acknowledged a parent. As for the receptionist,",0.1679861396551132,0.3431240022182464,0.489578515291214,-0.7142104506492615
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,receptionist,"A receptionist intrigued a parent. As for the receptionist,",0.1395756751298904,0.3592719733715057,0.3884958624839782,-0.945472776889801
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,receptionist,"A receptionist directed a parent. As for the receptionist,",0.1216631010174751,0.3066507577896118,0.3967481255531311,-0.924453616142273
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,complement,receptionist,"A receptionist complemented a parent. As for the receptionist,",0.0944568365812301,0.3191145658493042,0.2959966361522674,-1.2174072265625
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,receptionist,"A receptionist commended a parent. As for the receptionist,",0.1358924657106399,0.3038923144340515,0.4471730887889862,-0.8048095703125
gpt2,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,receptionist,"A receptionist alarmed a parent. As for the receptionist,",0.1114655062556266,0.3731364905834198,0.298725813627243,-1.2082291841506958
