feature,coefficient,nonzero
Intercept,0.0,False
C(tense)[T.past perfect],-0.0,False
C(tense)[T.present continuous],-0.08451929609299434,True
C(tense)[T.present perfect],-0.02915062552049944,True
C(tense)[T.simple future],0.06238614156759655,True
C(tense)[T.simple past],0.0,False
C(semantic_role)[T.patient],0.00671035196852525,True
C(syntactic_role)[T.subject],-0.11704175185895319,True
"C(valence, Treatment(reference='-val'))[T.+val]",-0.023468080951070277,True
"C(dominance, Treatment(reference='-dom'))[T.+dom]",0.03125381278583425,True
log_frequency,0.5183737556979157,True
lex_emb_norm,-0.20532395508917284,True
profession_embedding_1,-0.8968512878732349,True
profession_embedding_2,-0.2529261502917499,True
profession_embedding_3,0.011413146817422155,True
profession_embedding_4,-0.6487082413042979,True
profession_embedding_5,-0.13434719275268256,True
profession_embedding_6,-0.5783017774524685,True
profession_embedding_7,0.0794742610553747,True
profession_embedding_8,-0.14216137807022963,True
profession_embedding_9,0.055473585276375144,True
profession_embedding_10,0.1003059488166875,True
