target_model,best_model_name,best_model_aic,group,Unnamed: 0,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,0,accountant,0.3507160457506397,-0.0068519676516743,-0.1236261733383889
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,1,carpenter,1.8961251897312923,0.1841252001976937,-0.1147009010629933
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,2,cashier,-0.5778711069250441,-0.0664032209430261,-0.0051163074049501
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,3,ceo,0.840833883873535,0.1741406265391334,-0.2224028629923409
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,4,cleaner,-0.6627048998709746,-0.0344204833772937,0.0913405769529163
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,5,cook,-0.2030032782623282,-0.0017103115541868,0.5664397934305379
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,6,designer,-0.109878357653813,-0.0203237152763955,0.2484341438304327
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,7,driver,1.085016362452828,0.0892635697722959,-0.2874251065879112
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,8,lawyer,0.4448483686810956,0.0485005426491497,-0.0862214817281531
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,9,manager,0.4525584540652271,0.0956676496614546,-0.1043118440132708
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,10,receptionist,-1.6142158622257077,-0.2021854925338899,-0.1139561997011599
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,11,salesperson,0.7351461958998096,0.050586649920548,-0.4471165622841272
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,12,secretary,-1.8688980021525272,-0.2527243619832975,0.4672028823692549
he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,selected_mixed__candidate__0__C_tense_C_semantic_role_,7409.7151350943095,13,teacher,-0.7686729933089841,-0.057664685414197,0.1314600425229962
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,0,accountant,0.5914289543681492,0.0070043140174454,-0.1020874020088254
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,1,carpenter,2.755485914217379,0.0828118010153982,-0.1595044305428168
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,2,cashier,-1.0897032347479498,0.0400104022611031,-0.0091409153486491
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,3,ceo,0.7343053849500962,-0.0070559151372658,-0.0873834495318366
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,4,cleaner,-0.9361804469391364,-0.0480804933612894,0.3385818865076736
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,5,cook,-0.2812582377405981,0.0308327529287252,0.3542561979035591
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,6,designer,0.1413451706100578,0.0051782134944801,-0.0037128246350778
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,7,driver,1.1257200416302062,-0.0140740231690788,-0.2430302566584889
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,8,lawyer,1.0376168971656496,0.0366580781356891,0.0399112078052239
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,9,manager,0.4029080110001701,-0.0056756014797282,-0.2013648858177885
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,10,receptionist,-1.821740254636902,-0.0441827219636628,0.0938296795126198
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,11,salesperson,0.3323806318722095,-0.0081452346452969,-0.0942693454455024
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,12,secretary,-1.9980345476955077,-0.0188472807258539,0.0284525226375297
he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,selected_mixed__candidate__1__C_syntactic_role_C_semantic_role_,7190.46029937773,13,teacher,-0.9942742839560283,-0.0564342913687305,0.045462015616139
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,0,accountant,0.6175378980701857,0.0159582431617718,-0.0373347992948003
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,1,carpenter,2.4491481685079663,0.1739460003795363,-0.0219239589566928
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,2,cashier,-0.926554217734573,-0.036303286293041,0.1788126717478723
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,3,ceo,0.3702593207442936,0.096635802584052,0.0378498416661541
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,4,cleaner,-0.605456740178253,-0.1003495341126656,-0.157033670190261
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,5,cook,-0.1516552604925624,0.0152238767974729,0.1413553190553911
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,6,designer,-0.026450421131648,0.0383271958314704,0.1698018440086852
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,7,driver,1.2066503862541529,0.0216772715085715,-0.1200007791233927
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,8,lawyer,1.0214110701776,-0.0258055413992826,-0.3452138217553063
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,9,manager,0.3814334398824063,0.0048465870374552,0.0227924371964614
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,10,receptionist,-1.9296832763231693,-0.0524810266800724,0.0083134402452635
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,11,salesperson,0.0444047378166501,-0.0112664306808919,0.0741129094027383
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,12,secretary,-1.672945995644764,-0.0761621494148614,-0.0317550596213561
he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,selected_mixed__candidate__1__C_tense_C_semantic_role_,4588.319404038026,13,teacher,-0.7780991098700561,-0.0642470087156177,0.0802236256167417
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,0,accountant,0.4481535351311776,0.053540284968538,0.0413062885266459
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,1,carpenter,2.036589869872364,0.0335923480962462,-0.1812962444024143
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,2,cashier,-0.2365571634927699,0.0112641519274189,-0.0126949155269686
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,3,ceo,-0.6990451567349332,-0.033043687386977,-0.0976964327576099
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,4,cleaner,-0.0130757681233849,-0.0235799220929291,-0.1863836138363065
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,5,cook,-0.3235171463013014,-0.0288856929237091,-0.0676798757440644
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,6,designer,-0.1274794827911679,0.0301625500297829,0.1169075249906079
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,7,driver,1.4111145669104015,-0.0515770283412018,0.1475996636352638
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,8,lawyer,0.3551925004957297,0.0548207608176274,-0.0456941191756612
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,9,manager,0.6008905259034697,0.036278543394783,0.4369559919534199
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,10,receptionist,-1.6287487913486962,0.0562195001698675,-0.1548391109306806
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,11,salesperson,-0.2647572475224931,0.0180240430850705,0.209538639053279
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,12,secretary,-0.810911577981471,-0.1880976295670963,-0.1961636350696823
he_she_odds_results__gpt2__54292870,selected_mixed__candidate__2__C_dominance_C_semantic_role_,2194.2018635791173,13,teacher,-0.7478486639604243,0.031281777823386,-0.0098601607119726
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,0,accountant,0.5576300211039464,0.0215679113324583,0.1583862287151964
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,1,carpenter,2.4400505747579206,0.1822115177189218,0.0607463264825163
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,2,cashier,-0.8559144018119038,0.0168603577018161,-0.0101004270875072
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,3,ceo,0.4300504588214479,-0.0009619562669254,-0.0292468250685644
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,4,cleaner,-0.7431907038844123,-0.0399830694600038,-0.0516370402331661
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,5,cook,-0.1024818894882645,0.0343991847795034,-0.0044415924259666
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,6,designer,0.2605938349179653,-0.035779023349154,-0.0070401353082785
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,7,driver,1.0413064881360756,-0.0132646481724923,-0.1243308969101305
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,8,lawyer,0.9932970867052026,-0.07152821009811,0.0984628517600573
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,9,manager,0.5164873413668735,0.0415063407635599,-0.0189994222696461
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,10,receptionist,-2.180999194224697,-0.0248897370167317,0.0889138164118391
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,11,salesperson,0.2215922016182745,-0.0282976947310709,-0.0726698966184775
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,12,secretary,-1.8960502529012728,-0.0647323975290748,0.0132965408333811
he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,selected_mixed__candidate__2__C_valence_C_dominance_,5551.970846546523,13,teacher,-0.6823715651175266,-0.0171085756727454,-0.1013395282813618
