target_model,best_model_name,best_model_aic,term,coef,std_err,p_value,ci_low,ci_high,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,Intercept,0.4875754167849497,0.1864109998035749,0.0089072505969015,0.1222165708478398,0.8529342627220596,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.past perfect],-0.0591997419084875,0.0345833715261511,0.0869339237213788,-0.1269819045637117,0.0085824207467367,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.present continuous],0.0876534598214232,0.0345833715261511,0.0112590226796972,0.019871297166199,0.1554356224766473,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.present perfect],-0.0038617815290229,0.0345833715261511,0.9110883587935698,-0.0716439441842472,0.0639203811262012,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.simple future],0.3386082240513337,0.0345833715261511,1.2298695753346834e-22,0.2708260613961095,0.4063903867065579,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.simple past],0.0391017368861556,0.0345833715261511,0.2582018510132418,-0.0286804257690685,0.1068838995413797,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(syntactic_role)[T.subject],-0.2086838669989176,0.0980856853316829,0.0333730009782688,-0.400928277647945,-0.0164394563498903,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(valence)[T.-val],0.0688043227657385,0.0360152681910018,0.056079035927755,-0.0017843057821761,0.1393929513136532,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(dominance)[T.-dom],0.0393328987544173,0.0372838576140242,0.2914445965595501,-0.0337421193737897,0.1124079168826244,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.past perfect]:C(syntactic_role)[T.subject],-0.1008658272879444,0.0345833715261514,0.0035387038563782,-0.1686479899431692,-0.0330836646327196,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.present continuous]:C(syntactic_role)[T.subject],-0.125897216796873,0.0345833715261514,0.0002722175354284,-0.1936793794520978,-0.0581150541416482,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,C(tense)[T.present perfect]:C(syntactic_role)[T.subject],-0.0528782435825873,0.0345833715261514,0.1262625191016194,-0.1206604062378121,0.0149039190726374,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
