target_model,best_model_name,best_model_aic,group,Unnamed: 0,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,0,accountant,1.082287396952323,0.1347675893041019,-0.2493899869173494,0.074823043994049,0.0827913668985375
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,1,carpenter,2.5472855300727746,0.3291056959470405,-0.2406087844851216,0.1498664214303427,0.1643048865561402
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,2,cashier,0.1921352902926011,0.0663106475370974,-0.1308023300893566,0.0147571944298686,0.0754480705237966
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,3,ceo,1.496245962031544,0.3343193740580832,-0.3494591508834857,0.0369300798936851,0.2539107826035606
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,4,cleaner,0.016453354606327,0.1211874819299268,-0.0336074803748045,0.0576017873358143,0.1916586238684085
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,5,cook,0.5370245897883732,0.1185696484342371,0.4417876167871259,0.0743881329050486,0.087778766180605
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,6,designer,0.646432118406132,0.0828112977226767,0.1243996338996097,0.0878599430252528,0.0597108585807167
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,7,driver,1.7771437976812117,0.2100864646503819,-0.4121443591986264,0.1316419419209322,0.1262647250499294
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,8,lawyer,1.1965813382327932,0.1655361278878245,-0.2118287909633711,0.0550188914298345,0.0871353827039643
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,9,manager,1.202656738114558,0.1985814183151018,-0.2297132232579058,0.0413002483009462,0.118620831153904
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,10,receptionist,-0.7272429991331851,-0.0805955174672487,-0.2406668934770215,-0.0923951722245924,-0.0399946190708447
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,11,salesperson,1.4944047515481813,0.1421218183743969,-0.5716540504715025,0.0893968823803347,0.0642869219863574
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,12,secretary,-0.929880491402027,-0.1549404593051428,0.3413337484064619,-0.0760368987584362,-0.1368992995179694
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,7355.17799475247,13,teacher,0.045812449678328,0.0523286969310562,0.0057706369291341,-0.0200422465553271,0.0441398282528204
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,0,accountant,0.7359148230587796,0.0109752602278455,-0.1119652484152771,0.0930710668787161,0.0454044798678897
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,1,carpenter,2.7752644332755008,0.1290995333286727,-0.1731410332796214,0.2959431944047866,0.0493833832824876
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance_,6969.46846106249,2,cashier,-0.7826615089939292,0.0365056682842499,-0.0078957248954244,-0.1100946355386743,-0.0819606361871345
