target_model,best_model_name,best_model_aic,Unnamed: 0,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject],C(valence)[T.-val],C(dominance)[T.-dom]
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,CEO,0.0575441314471855,0.0753112933011607,0.120280184517839,-0.0614147539797251,0.0192431266684928
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,accountant,-0.6786823213194914,-0.0850030436496631,-0.0716534420132189,-0.0357109017595706,-0.0232821742505016
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,administrator,-0.2856286263866859,-0.086956569947849,0.2828547312417707,0.0453430757626317,0.001461838413771
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,agronomist,0.0294214311297149,-0.0512010689126863,-0.0442170475404213,0.0053714722796856,-0.0088274039958054
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,binman,1.642884846944826,0.0064706470644853,-0.258672306804491,0.0489571141705103,0.1142409925560611
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,bodyguard,0.5945722194847187,-0.0925361477414679,-0.085842854826986,-0.0216944098026702,0.0417948433284492
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,bookbinder,0.3019780736403092,0.1019694936458656,-0.0045924958968646,-0.0070889521957405,-0.0428110543207452
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,builder,0.9879319040964016,-0.0376067503573366,-0.2041029268736599,0.0739017172480579,0.0233940386703975
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,cashier,-1.6801160812736995,-0.0898823043188838,0.0408201599687764,-0.0815562046119798,-0.0503152510391801
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,chauffeur,0.9064411534613864,0.0779627402971582,-0.4324923410472028,0.0164378687353695,-0.0086986891823432
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,colonel,1.3896799939931523,0.1685885342439612,-0.0457173560718779,0.0015390960754806,0.0295380252923682
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,doctor,0.1071520101065753,-0.00262168301532,-0.1063555065637084,-0.0073440593395132,0.0097891023868472
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,electrician,1.044712822530176,0.0886604418405583,-0.1135587783787001,0.059734076448485,0.0141065486732576
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,farmer,1.2914917654400837,-0.0039880146447553,-0.2247087869349653,0.0347492153835659,0.0505288657848778
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,farmhand,0.0069793450048544,0.0331760930301925,0.0570008918220843,-0.0557771948735462,0.0351003335231192
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,fisherman,2.315800470283354,0.2162669363999809,0.2079214304431228,0.1035255591627898,0.1076926212667348
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__4__C_semantic_role_C_valence,17084.61422831012,hawker,0.2252888619434479,-0.0980106596416421,-0.1512085474675237,0.0578287196892703,0.0501481891574043
