run_dir,run_name,input_csv,target_model,model_name,model_dir,fixed_effects_path,formula,re_formula,group_col,optimizer,converged,aic,bic,log_likelihood,nobs,residual_variance,R2m,R2c
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,,Qwen_Qwen3-4B-Base,full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/full_mixed/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,7413.468975923068,7706.421243564308,-3663.734487961534,6720,0.1697179153654636,0.04414799448645836,0.8614758135539944
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,,allenai_Olmo-3-1025-7B,full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/full_mixed/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,7194.371896363453,7487.324164004693,-3554.1859481817264,6720,0.16446740954450817,0.032556429124497105,0.9027421422790134
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,,google_gemma-3-4b-pt,full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/full_mixed/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,4593.148779520743,4886.101047161983,-2253.5743897603716,6720,0.11152612418809572,0.04613672899398688,0.9234607126351464
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870,he_she_odds_results__gpt2__54292870,,gpt2,full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/full_mixed/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,2197.1173916576518,2490.069659298891,-1055.5586958288259,6720,0.07780429173813208,0.017521709737517318,0.9203155603263761
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,,mistralai_Mistral-7B-v0.3,full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/full_mixed,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/full_mixed/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(semantic_role) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(semantic_role) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(semantic_role) + C(valence):C(dominance) + C(valence):C(semantic_role) + C(dominance):C(semantic_role),1 + C(semantic_role) + C(syntactic_role),profession,lbfgs,True,5555.683214300261,5848.635481941501,-2734.8416071501306,6720,0.12890140493484972,0.031558068996619906,0.9189081096354419
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,,Qwen_Qwen3-4B-Base,full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/full_mixed_2/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(profession) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(profession) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(profession) + C(valence):C(dominance) + C(valence):C(profession) + C(dominance):C(profession),1 + C(profession) + C(syntactic_role),semantic_role,lbfgs,True,7029.73418254633,8835.137692428387,-3249.867091273165,6720,0.1535585025915707,0.8715706928858143,0.8739446592563591
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,,allenai_Olmo-3-1025-7B,full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/full_mixed_2/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(profession) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(profession) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(profession) + C(valence):C(dominance) + C(valence):C(profession) + C(dominance):C(profession),1 + C(profession) + C(syntactic_role),semantic_role,lbfgs,True,6486.088216701406,8291.491726583463,-2978.044108350703,6720,0.1400532425095224,0.9008136098606397,0.9186079980424818
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,he_she_odds_results__google_gemma-3-4b-pt__ccb39b90,,google_gemma-3-4b-pt,full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__google_gemma-3-4b-pt__ccb39b90/models/full_mixed_2/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(profession) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(profession) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(profession) + C(valence):C(dominance) + C(valence):C(profession) + C(dominance):C(profession),1 + C(profession) + C(syntactic_role),semantic_role,lbfgs,True,4206.417756406299,6011.821266288356,-1838.2088782031497,6720,0.09976895162620242,0.91733763649063,0.9324213323135878
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870,he_she_odds_results__gpt2__54292870,,gpt2,full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__gpt2__54292870/models/full_mixed_2/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(profession) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(profession) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(profession) + C(valence):C(dominance) + C(valence):C(profession) + C(dominance):C(profession),1 + C(profession) + C(syntactic_role),semantic_role,lbfgs,True,1649.7616677959231,3455.1651776779795,-559.8808338979616,6720,0.0679856667597662,0.90101521984502,0.9324174183911615
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b,,mistralai_Mistral-7B-v0.3,full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/full_mixed_2,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/analysis_outputs/he_she_odds_results__mistralai_Mistral-7B-v0.3__bb457d4b/models/full_mixed_2/fixed_effects.csv,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(profession) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(tense):C(profession) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(syntactic_role):C(profession) + C(valence):C(dominance) + C(valence):C(profession) + C(dominance):C(profession),1 + C(profession) + C(syntactic_role),semantic_role,lbfgs,False,4870.855724450223,6676.259234332279,-2170.4278622251113,6720,0.11135812930641892,0.9275041070255813,0.9299150863946134
