target_model,model_name,term,n_runs,mean_coef,std_coef,min_coef,max_coef,positive_rate,negative_rate
Qwen_Qwen3-4B-Base,full_mixed,C(dominance)[T.-dom],1,0.1541471935453896,,0.1541471935453896,0.1541471935453896,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(dominance)[T.-dom]:C(semantic_role)[T.patient],1,-0.061177571614584,,-0.061177571614584,-0.061177571614584,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(semantic_role)[T.patient],1,0.1783857073105347,,0.1783857073105347,0.1783857073105347,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(syntactic_role)[T.subject],1,-0.2768894740516019,,-0.2768894740516019,-0.2768894740516019,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(syntactic_role)[T.subject]:C(dominance)[T.-dom],1,0.0610345749627973,,0.0610345749627973,0.0610345749627973,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(syntactic_role)[T.subject]:C(semantic_role)[T.patient],1,-0.1145292736235124,,-0.1145292736235124,-0.1145292736235124,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(syntactic_role)[T.subject]:C(valence)[T.-val],1,0.0664184570312496,,0.0664184570312496,0.0664184570312496,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.past perfect],1,-0.053854370117182,,-0.053854370117182,-0.053854370117182,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.past perfect]:C(dominance)[T.-dom],1,-0.0947675432477698,,-0.0947675432477698,-0.0947675432477698,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.past perfect]:C(semantic_role)[T.patient],1,-0.0106907435825916,,-0.0106907435825916,-0.0106907435825916,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.past perfect]:C(syntactic_role)[T.subject],1,-0.1008658272879484,,-0.1008658272879484,-0.1008658272879484,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.past perfect]:C(valence)[T.-val],1,0.0931893484933003,,0.0931893484933003,0.0931893484933003,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present continuous],1,0.0765167236328179,,0.0765167236328179,0.0765167236328179,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present continuous]:C(dominance)[T.-dom],1,-0.050178745814734,,-0.050178745814734,-0.050178745814734,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present continuous]:C(semantic_role)[T.patient],1,0.0222734723772296,,0.0222734723772296,0.0222734723772296,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present continuous]:C(syntactic_role)[T.subject],1,-0.1258972167968771,,-0.1258972167968771,-0.1258972167968771,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present continuous]:C(valence)[T.-val],1,-0.0395621163504495,,-0.0395621163504495,-0.0395621163504495,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present perfect],1,-0.0364079066685214,,-0.0364079066685214,-0.0364079066685214,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present perfect]:C(dominance)[T.-dom],1,-0.0929242815290197,,-0.0929242815290197,-0.0929242815290197,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present perfect]:C(semantic_role)[T.patient],1,0.0650922502790155,,0.0650922502790155,0.0650922502790155,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present perfect]:C(syntactic_role)[T.subject],1,-0.0528782435825914,,-0.0528782435825914,-0.0528782435825914,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.present perfect]:C(valence)[T.-val],1,0.0887407575334789,,0.0887407575334789,0.0887407575334789,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.simple future],1,0.3355730329241126,,0.3355730329241126,0.3355730329241126,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.simple future]:C(dominance)[T.-dom],1,-0.1052734375000018,,-0.1052734375000018,-0.1052734375000018,0.0,1.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.simple future]:C(semantic_role)[T.patient],1,0.0060703822544614,,0.0060703822544614,0.0060703822544614,1.0,0.0
Qwen_Qwen3-4B-Base,full_mixed,C(tense)[T.simple future]:C(syntactic_role)[T.subject],1,-0.1090576171875022,,-0.1090576171875022,-0.1090576171875022,0.0,1.0
