model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,5.875,"A colonel acknowledged a parent. As for the colonel,",0.34375,0.0264892578125,13.0,2.5625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,5.875,"A colonel intrigued a parent. As for the colonel,",0.49609375,0.02978515625,16.75,2.8125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,5.875,"A colonel directed a parent. As for the colonel,",0.33984375,0.0262451171875,12.9375,2.5625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,5.875,"A colonel complimented a parent. As for the colonel,",0.333984375,0.02587890625,12.9375,2.5625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,5.875,"A colonel commended a parent. As for the colonel,",0.294921875,0.0311279296875,9.5,2.25
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,5.875,"A colonel alarmed a parent. As for the colonel,",0.470703125,0.0281982421875,16.75,2.8125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,5.875,"A colonel intimidated a parent. As for the colonel,",0.361328125,0.0296630859375,12.125,2.5
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,5.875,"A colonel rushed a parent. As for the colonel,",0.345703125,0.0267333984375,12.875,2.5625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,5.875,"A colonel commanded a parent. As for the colonel,",0.36328125,0.004730224609375,76.5,4.34375
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,5.875,"A colonel disliked a parent. As for the colonel,",0.3203125,0.01171875,27.25,3.3125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,colonel,4215,5.875,"A colonel phoned a parent. As for the colonel,",0.3984375,0.0186767578125,21.375,3.0625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,colonel,4215,5.875,"A colonel challenged a parent. As for the colonel,",0.349609375,0.0286865234375,12.1875,2.5
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,colonel,4215,5.875,"A colonel surprised a parent. As for the colonel,",0.455078125,0.031982421875,14.25,2.65625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,colonel,4215,5.875,"A colonel hypnotized a parent. As for the colonel,",0.40625,0.054931640625,7.40625,2.0
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,colonel,4215,5.875,"A colonel resurrected a parent. As for the colonel,",0.3828125,0.031494140625,12.125,2.5
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,colonel,4215,5.875,"A colonel agitated a parent. As for the colonel,",0.42578125,0.034912109375,12.1875,2.5
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,colonel,4215,5.875,"A colonel shamed a parent. As for the colonel,",0.32421875,0.0267333984375,12.125,2.5
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,colonel,4215,5.875,"A colonel hated a parent. As for the colonel,",0.322265625,0.01068115234375,30.0,3.40625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,colonel,4215,5.875,"A colonel bothered a parent. As for the colonel,",0.4609375,0.020263671875,22.75,3.125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,distract,colonel,4215,5.875,"A colonel distracted a parent. As for the colonel,",0.412109375,0.033935546875,12.125,2.5
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,sergeant,3253,11.4375,"A sergeant acknowledged a parent. As for the sergeant,",0.31640625,0.037841796875,8.375,2.125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,sergeant,3253,11.4375,"A sergeant intrigued a parent. As for the sergeant,",0.439453125,0.019287109375,22.75,3.125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,sergeant,3253,11.4375,"A sergeant directed a parent. As for the sergeant,",0.26171875,0.03125,8.375,2.125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,sergeant,3253,11.4375,"A sergeant complimented a parent. As for the sergeant,",0.291015625,0.039306640625,7.40625,2.0
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,sergeant,3253,11.4375,"A sergeant commended a parent. As for the sergeant,",0.265625,0.040771484375,6.53125,1.875
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,sergeant,3253,11.4375,"A sergeant alarmed a parent. As for the sergeant,",0.400390625,0.03955078125,10.125,2.3125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,sergeant,3253,11.4375,"A sergeant intimidated a parent. As for the sergeant,",0.318359375,0.0458984375,6.9375,1.9375
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,sergeant,3253,11.4375,"A sergeant rushed a parent. As for the sergeant,",0.318359375,0.031494140625,10.125,2.3125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,sergeant,3253,11.4375,"A sergeant commanded a parent. As for the sergeant,",0.3828125,0.004669189453125,82.0,4.40625
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,sergeant,3253,11.4375,"A sergeant disliked a parent. As for the sergeant,",0.31640625,0.0167236328125,19.0,2.9375
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,sergeant,3253,11.4375,"A sergeant phoned a parent. As for the sergeant,",0.31640625,0.0517578125,6.125,1.8125
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,sergeant,3253,11.4375,"A sergeant challenged a parent. As for the sergeant,",0.353515625,0.037353515625,9.5,2.25
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,sergeant,3253,11.4375,"A sergeant surprised a parent. As for the sergeant,",0.404296875,0.03759765625,10.75,2.375
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,sergeant,3253,11.4375,"A sergeant hypnotized a parent. As for the sergeant,",0.400390625,0.042236328125,9.5,2.25
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,sergeant,3253,11.4375,"A sergeant resurrected a parent. As for the sergeant,",0.3671875,0.0234375,15.6875,2.75
allenai/Olmo-3-1125-32B,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,sergeant,3253,11.4375,"A sergeant agitated a parent. As for the sergeant,",0.369140625,0.034423828125,10.75,2.375
