model_tag,template,tense,syntactic_role,semantic_role,valence,dominance,verb,profession,frequency,lex_emb_norm,prefix,he_prob,she_prob,he_she_odds_ratio,log_he_she_odds
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,acknowledge,colonel,4215,2.5715746879577637,"A colonel acknowledged a parent. As for the colonel,",0.397714763879776,0.04961572214961052,8.015901565551758,2.0814273357391357
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,intrigue,colonel,4215,2.5715746879577637,"A colonel intrigued a parent. As for the colonel,",0.40956881642341614,0.04662309214472771,8.784677505493164,2.173008918762207
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,direct,colonel,4215,2.5715746879577637,"A colonel directed a parent. As for the colonel,",0.4168431758880615,0.0318562351167202,13.085136413574219,2.571476936340332
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,compliment,colonel,4215,2.5715746879577637,"A colonel complimented a parent. As for the colonel,",0.4106389582157135,0.04337852820754051,9.466410636901855,2.2477498054504395
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,+dom,commend,colonel,4215,2.5715746879577637,"A colonel commended a parent. As for the colonel,",0.36910974979400635,0.036242835223674774,10.184350967407227,2.320852279663086
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,alarm,colonel,4215,2.5715746879577637,"A colonel alarmed a parent. As for the colonel,",0.4166986048221588,0.02519236132502556,16.540672302246094,2.8058223724365234
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,intimidate,colonel,4215,2.5715746879577637,"A colonel intimidated a parent. As for the colonel,",0.382007896900177,0.039608485996723175,9.644597053527832,2.2663979530334473
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,rush,colonel,4215,2.5715746879577637,"A colonel rushed a parent. As for the colonel,",0.4077337384223938,0.04898052290081978,8.324405670166016,2.1191916465759277
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,command,colonel,4215,2.5715746879577637,"A colonel commanded a parent. As for the colonel,",0.5665732622146606,0.011771991848945618,48.12892150878906,3.8738832473754883
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,+dom,dislike,colonel,4215,2.5715746879577637,"A colonel disliked a parent. As for the colonel,",0.44019967317581177,0.02539634332060814,17.33319091796875,2.852623224258423
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,phone,colonel,4215,2.5715746879577637,"A colonel phoned a parent. As for the colonel,",0.3150731921195984,0.04371054098010063,7.208174228668213,1.9752156734466553
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,challenge,colonel,4215,2.5715746879577637,"A colonel challenged a parent. As for the colonel,",0.35800135135650635,0.024289140477776527,14.739151954650879,2.690507411956787
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,surprise,colonel,4215,2.5715746879577637,"A colonel surprised a parent. As for the colonel,",0.45675933361053467,0.037924624979496,12.043872833251953,2.488556146621704
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,hypnotize,colonel,4215,2.5715746879577637,"A colonel hypnotized a parent. As for the colonel,",0.47568175196647644,0.023670680820941925,20.095821380615234,3.000511884689331
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,+val,-dom,resurrect,colonel,4215,2.5715746879577637,"A colonel resurrected a parent. As for the colonel,",0.40652626752853394,0.028733571991324425,14.1481294631958,2.6495823860168457
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,agitate,colonel,4215,2.5715746879577637,"A colonel agitated a parent. As for the colonel,",0.5179916620254517,0.029982419684529305,17.276512145996094,2.8493478298187256
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,shame,colonel,4215,2.5715746879577637,"A colonel shamed a parent. As for the colonel,",0.4249420762062073,0.01436320599168539,29.585460662841797,3.3872830867767334
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,hate,colonel,4215,2.5715746879577637,"A colonel hated a parent. As for the colonel,",0.47161370515823364,0.029302574694156647,16.094615936279297,2.77848482131958
tiiuae/Falcon3-7B-Base,"{det1} {person_1} {verb_ed} a parent. As for the {person_1},",simple past,subject,agent,-val,-dom,bother,colonel,4215,2.5715746879577637,"A colonel bothered a parent. As for the colonel,",0.4098256528377533,0.039203088730573654,10.453911781311035,2.3469762802124023
