profession,Group,C(semantic_role)[T.patient],C(syntactic_role)[T.subject]
accountant,0.5913944898988008,0.007027420823542708,-0.10204341323601906
carpenter,2.75563503487682,0.08250245345170258,-0.15950526762856856
cashier,-1.089385879104872,0.03932400999577568,-0.009074540000438126
ceo,0.7341843732337977,-0.00684301153112298,-0.08735943125700384
cleaner,-0.9362980027413964,-0.04765194077461085,0.33838233794607875
cook,-0.2810185945819217,0.03057264729700062,0.35403303164084093
designer,0.14135837076611607,0.0051540787320842555,-0.0037157268281959935
driver,1.1255022866190325,-0.013754621399026595,-0.24291926128514071
lawyer,1.0377158123867924,0.036521282967054085,0.03984346453880763
manager,0.40281100706816964,-0.005598422730342528,-0.20124674357635183
receptionist,-1.821784345032455,-0.04409608991507686,0.09384060433352058
salesperson,0.33229207313883724,-0.008016762842473203,-0.09422201263815987
secretary,-1.997935927440154,-0.019098726554804792,0.02852233519391404
teacher,-0.9944706991762426,-0.05604231752142483,0.04546462280292368
