run_dir,run_name,input_csv,target_model,model_name,model_dir,selection_variant,formula,re_formula,group_col,optimizer,converged,aic,bic,log_likelihood,nobs,residual_variance,R2m,R2c,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7355.17799475247,7648.13026239371,-3634.588997376235,6720,0.1674413420562159,0.020680456226875286,0.9018202439444927,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__full,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__full,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7355.17799475247,7648.13026239371,-3634.588997376235,6720,0.1674413420562159,0.020680456226875286,0.9018202439444927,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__candidate__0__C_tense_C_dominance,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7358.973628555854,7617.861679029507,-3641.486814277927,6720,0.16781707388327902,0.02043411760825674,0.9004215952314726,0.028164346127168373,0.08491642789567823,0.0065887731361858855,0.0138538463446008
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7362.457440703351,7648.596864911073,-3639.2287203516753,6720,0.16768640009049668,0.020315188562040058,0.9023434396078187,0.029348776964672856,0.08851227151357535,0.006532435356016192,0.0154419809455056
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7364.228078625296,7650.367502833018,-3640.114039312648,6720,0.16773849282892161,0.020466159433671322,0.9008184211821242,0.028756469457193422,0.08526441775388931,0.00663314132592416,0.014281129373831398
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_valence,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__candidate__0__C_tense_C_valence,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7376.39523369629,7635.283284169944,-3650.197616848145,6720,0.16825925873972694,0.022479445733345017,0.8911304865214047,0.02664433397759034,0.08175304892740287,0.005895089102355522,0.014950376852747813
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,7377.150277776964,7636.038328250617,-3650.575138888482,6720,0.16829543036412736,0.022104645290102108,0.8922273071916075,0.02693672718477489,0.08177608076995757,0.006013255959026286,0.014467376381973563
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__candidate__0__C_valence_C_dominance,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,False,7551.940450004549,7838.0798742122715,-3733.9702250022747,6720,0.1729531543458792,0.019409709251095048,0.8828447827779604,0.022633053464095016,0.06669737385826965,0.004797786570033698,0.012457638961546906
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__Qwen_Qwen3-4B-Base.csv,Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__random_intercept_baseline,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base__2bc637df/models/selected_mixed_random_slopes__random_intercept_baseline,random_intercept_baseline,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(syntactic_role):C(dominance) + C(valence):C(dominance),1,profession,lbfgs,True,8338.284203057017,8535.856662629016,-4140.142101528509,6720,0.19752885204936024,0.0399998180373128,0.8376029238695031,,,,
/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/he_she_odds_results__allenai_Olmo-3-1025-7B.csv,allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/model_selection_data/runs/he_she_odds_results__allenai_Olmo-3-1025-7B__c14b47b7/models/selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,random_slopes,log_he_she_odds ~ C(tense) + C(syntactic_role) + C(valence) + C(dominance) + C(tense):C(syntactic_role) + C(tense):C(valence) + C(tense):C(dominance) + C(syntactic_role):C(valence) + C(valence):C(dominance),1 + C(semantic_role) + C(syntactic_role) + C(valence) + C(dominance),profession,lbfgs,True,6969.46846106249,7255.607885270212,-3442.734230531245,6720,0.15830158552643414,0.030032811788381037,0.9086572938205999,0.0027130178591870916,0.030415892152019636,0.015826834551781067,0.014133496934478134
