target_model,model_name,runs,mean_aic,mean_bic,mean_R2m,mean_R2c,converged_rate,random_effect_variance_semantic_role,random_effect_variance_syntactic_role,random_effect_variance_valence,random_effect_variance_dominance
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes,1,7355.17799475247,7648.13026239371,0.020680456226875286,0.9018202439444927,1.0,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__full,1,7355.17799475247,7648.13026239371,0.020680456226875286,0.9018202439444927,1.0,0.02964402066003734,0.08810789791849323,0.006538023756944044,0.015819935190008086
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_dominance,1,7358.973628555854,7617.861679029507,0.02043411760825674,0.9004215952314726,1.0,0.028164346127168373,0.08491642789567823,0.0065887731361858855,0.0138538463446008
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,1,7362.457440703351,7648.596864911073,0.020315188562040058,0.9023434396078187,1.0,0.029348776964672856,0.08851227151357535,0.006532435356016192,0.0154419809455056
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_valence,1,7364.228078625296,7650.367502833018,0.020466159433671322,0.9008184211821242,1.0,0.028756469457193422,0.08526441775388931,0.00663314132592416,0.014281129373831398
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_valence,1,7376.39523369629,7635.283284169944,0.022479445733345017,0.8911304865214047,1.0,0.02664433397759034,0.08175304892740287,0.005895089102355522,0.014950376852747813
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_tense_C_syntactic_role,1,7377.150277776964,7636.038328250617,0.022104645290102108,0.8922273071916075,1.0,0.02693672718477489,0.08177608076995757,0.006013255959026286,0.014467376381973563
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__candidate__0__C_valence_C_dominance,1,7551.940450004549,7838.0798742122715,0.019409709251095048,0.8828447827779604,0.0,0.022633053464095016,0.06669737385826965,0.004797786570033698,0.012457638961546906
Qwen_Qwen3-4B-Base,selected_mixed_random_slopes__random_intercept_baseline,1,8338.284203057017,8535.856662629016,0.0399998180373128,0.8376029238695031,1.0,,,,
allenai_Olmo-3-1025-7B,selected_mixed_random_slopes__candidate__0__C_syntactic_role_C_dominance,1,6969.46846106249,7255.607885270212,0.030032811788381037,0.9086572938205999,1.0,0.0027130178591870916,0.030415892152019636,0.015826834551781067,0.014133496934478134
