target_model,model,model_key,model_dir,formula,model_type,optimizer,converged,nobs,aic,bic,log_likelihood,residual_variance,R2m,R2c,warnings,fixed_effect_variance_C(semantic_role),"fixed_effect_variance_C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(dominance, Treatment(reference='-dom'))","fixed_effect_variance_C(semantic_role):C(valence, Treatment(reference='-val'))","fixed_effect_variance_C(semantic_role):C(dominance, Treatment(reference='-dom'))","fixed_effect_variance_C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_male_perc,fixed_effect_variance_male_perc:C(semantic_role),"fixed_effect_variance_male_perc:C(valence, Treatment(reference='-val'))","fixed_effect_variance_male_perc:C(dominance, Treatment(reference='-dom'))",fixed_effect_variance_C(syntactic_role),fixed_effect_variance_C(tense),fixed_effect_variance_C(semantic_role):C(tense),"fixed_effect_variance_C(valence, Treatment(reference='-val')):C(syntactic_role)","fixed_effect_variance_C(dominance, Treatment(reference='-dom')):C(syntactic_role)","fixed_effect_variance_C(dominance, Treatment(reference='-dom')):C(tense)",fixed_effect_variance_male_perc:C(tense),"fixed_effect_variance_C(valence, Treatment(reference='-val')):C(tense)",fixed_effect_variance_C(syntactic_role):C(tense),fixed_effect_variance_male_perc:C(syntactic_role),fixed_effect_variance_C(semantic_role):C(syntactic_role)
EleutherAI_pythia-12b-deduped,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__EleutherAI_pythia-12b-deduped/human_perception/models/selected_model,"log_he_she_odds ~ C(dominance, Treatment(reference='-dom')) + C(syntactic_role) + C(tense) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(syntactic_role) + C(dominance, Treatment(reference='-dom')):C(syntactic_role) + C(dominance, Treatment(reference='-dom')):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,54570.717193693934,54794.02144592096,-27256.358596846967,1.65556360745367,0.49705184631301125,0.49705184631301125,[],,,0.0004785623357924106,,,,1.7312815054131154,0.04963066720786764,,,0.00012542842645078635,0.020650906549561216,-0.0009064873756255539,0.00017116557981123863,0.0021519709475579176,0.0018520366805848826,-0.17208843084729053,,,,
EleutherAI_pythia-12b-deduped,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__EleutherAI_pythia-12b-deduped/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,54848.955560115275,54933.65717302897,-27413.477780057638,1.6858872893729024,0.4872738446187739,0.4872738446187739,[],0.0004051961986896775,-0.0002427110680089034,0.0004857702569888882,0.00040350850665517757,-0.00010074863187352733,0.0003218842935597513,1.5702310937735426,0.049630667207867546,0.0035262761685465136,-0.023444813047711503,,,,,,,,,,,
EleutherAI_pythia-2.8b-deduped,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__EleutherAI_pythia-2.8b-deduped/human_perception/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(tense) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(tense) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,46001.15481646353,46309.160681604255,-22960.577408231766,0.9786053565658639,0.5639158429999576,0.5639158429999576,[],0.000871802976920748,,,,-5.4367695656727965e-05,0.009505247767803749,1.3336109654228399,0.033568646329304105,,,,0.010406904865891816,-0.0006781895490044106,,,0.0014214572844055968,-0.03139726842459808,0.0009100642051430538,0.0035294145668226333,-0.09924977295746519,
EleutherAI_pythia-2.8b-deduped,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__EleutherAI_pythia-2.8b-deduped/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,46348.94488016752,46425.9463464527,-23164.47244008376,1.0015204084095135,0.552882071654103,0.552882071654103,[],0.0010714329314618052,,,,0.0002379124492368743,0.010692934597293157,1.2200850022115497,0.03356864632930384,-0.008648294719198903,-0.019264160238741144,,,,,,,,,,,
EleutherAI_pythia-6.9b-deduped,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__EleutherAI_pythia-6.9b-deduped/human_perception/models/selected_model,"log_he_she_odds ~ C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(tense) + C(semantic_role):C(syntactic_role) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(syntactic_role) + C(valence, Treatment(reference='-val')):C(tense) + C(dominance, Treatment(reference='-dom')):C(syntactic_role) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,51820.80199671096,52136.5080084802,-25869.40099835548,1.3978118920157634,0.5306999678826445,0.5306999678826445,[],,-0.0014398953598618205,0.0006141940195781715,,,0.0013569987773086331,1.7279370230995288,,,,,0.01581237990308351,0.0002963974027984365,0.0015012142086042615,0.0023944497656276337,0.001663332031672472,-0.10409346696043212,0.0015840694541631125,0.011354105338202683,-0.07697618770378253,-0.0051872668893727086
EleutherAI_pythia-6.9b-deduped,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__EleutherAI_pythia-6.9b-deduped/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,52209.447698482094,52278.749018138755,-26095.723849241047,1.4343043095877201,0.5175014407674886,0.5175014407674886,[],0.00024639114318238207,0.001463012406154512,0.0004616427656646941,,,0.0013569987773084846,1.5762263479845406,-0.009998711323982784,-0.014441979127576351,-0.017711859157311136,,,,,,,,,,,
Qwen_Qwen3-4B-Base,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base/human_perception/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(syntactic_role) + C(tense) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(syntactic_role) + C(valence, Treatment(reference='-val')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,48187.8891032887,48457.39423528683,-24058.94455164435,1.1192624168749878,0.5502570029860699,0.5502570029860699,[],0.002117469752628009,,,,0.004314133559750482,0.003727146697703745,1.3803165752815947,0.03996964260382819,,,0.024346613252426947,0.005999372282768732,0.001805936811479673,0.0003081276739620855,,,-0.10957210944185718,0.0038960859091237677,0.009326618611380667,,
Qwen_Qwen3-4B-Base,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__Qwen_Qwen3-4B-Base/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,48793.19905822863,48877.90067114233,-24385.599529114315,1.1632624277078485,0.5318880161118302,0.5318880161118302,[],0.003513049789538601,-7.989922554882726e-05,0.0004595905396163212,4.8178337809426975e-05,0.003854543020134019,0.005224026867113658,1.3067138771745093,0.039969642603828584,-0.021027840125159424,-0.01773867938175152,,,,,,,,,,,
Qwen_Qwen3-8B-Base,Human-Perception Model,human_perception,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base/human_perception/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(syntactic_role) + C(tense) + C(semantic_role):C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(tense) + C(valence, Treatment(reference='-val')):C(tense) + C(dominance, Treatment(reference='-dom')):C(tense) + C(syntactic_role):C(tense) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(syntactic_role) + male_perc:C(tense)",OLS,closed_form,True,16320,50271.97040087301,50579.976266013735,-25095.985200436506,1.271332171905439,0.5185635558925741,0.5185635558925741,[],0.0018640186932975425,0.0073071351162784645,0.00133557251356188,,-0.000206302614135546,,1.3127611812935114,0.05381950554719648,-0.04756986802910757,,0.02538483752861124,0.022120635130026645,0.002125307697315423,,,0.001747202620303956,-0.07189830668972898,-0.0011868170312953879,0.002348160050715452,0.056149100427374456,
Qwen_Qwen3-8B-Base,World-Knowledge Model,world_knowledge,/mnt/hum01-rds/Nikolaev_Dmitry/flos-code/knowledge_perception_model_data/runs/he_she_odds_results__Qwen_Qwen3-8B-Base/world_knowledge/models/selected_model,"log_he_she_odds ~ C(semantic_role) + C(valence, Treatment(reference='-val')) + C(dominance, Treatment(reference='-dom')) + C(semantic_role):C(valence, Treatment(reference='-val')) + C(valence, Treatment(reference='-val')):C(dominance, Treatment(reference='-dom')) + male_perc + male_perc:C(semantic_role) + male_perc:C(valence, Treatment(reference='-val')) + male_perc:C(dominance, Treatment(reference='-dom'))",OLS,closed_form,True,16320,50953.45804992702,51030.459516212206,-25466.72902496351,1.3279794029691474,0.49618531139323385,0.49618531139323385,[],0.002676495383734458,0.006660575804821622,0.0011184034593571689,0.0018602594627098671,,-0.00019521150093280932,1.3027167088086522,0.053819505547195966,-0.04756986802910765,-0.013938647426809848,,,,,,,,,,,
